PlayerID,SeasonType,Season,Team,Number,Name,Position,PositionCategory,Played,Started,PassingAttempts,PassingCompletions,PassingYards,PassingCompletionPercentage,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,PassingRating,PassingLong,PassingSacks,PassingSackYards,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingLong,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingLong,Fumbles,FumblesLost,PuntReturns,PuntReturnYards,PuntReturnTouchdowns,KickReturns,KickReturnYards,KickReturnTouchdowns,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,FieldGoalsAttempted,FieldGoalsMade,ExtraPointsMade,TwoPointConversionPasses,TwoPointConversionRuns,TwoPointConversionReceptions,FantasyPoints,FantasyPosition,PlayerSeasonID,ExtraPointsAttempted,AuctionValue,AuctionValuePPR,FantasyPointsFanDuel,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FantasyPointsDraftKings,AverageDraftPosition,AverageDraftPositionPPR,TeamID
430,1,2021,BAL,15,S.Koch,P,ST,17,0,1,0,0,0,0,0,0,0,39.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,990674141,0,,,0,0,0,0,0,0,0,,,3
549,1,2021,ARI,5,M.Prater,K,ST,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,30,47,0,0,0,151,K,990670606,49,,,154,0,11,9,3,7,154,,,1
611,1,2021,NYJ,87,J.Flacco,QB,OFF,2,1,42,27,338,64.3,8,12.5,3,0,113,62,2,13,2,3,1.5,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.82,QB,990669669,0,,,23.82,0,0,0,0,0,24.82,,,24
732,1,2021,ATL,19,M.Ryan,QB,OFF,17,17,560,375,3968,67,7.1,10.6,20,12,90.39,64,40,274,40,82,2,1,17,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,222.92,QB,990669723,0,,,234.92,0,0,0,0,0,250.92,,,2
1410,1,2021,SF,27,R.Gould,K,ST,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,39,0,0,0,105,K,990670499,40,,,112,0,6,4,7,3,112,,,31
1694,1,2021,GB,18,M.Crosby,K,ST,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34,25,49,0,0,0,130,K,990671416,51,,,134,0,9,9,4,3,134,,,12
2405,1,2021,KC,69,C.Henne,QB,OFF,4,0,16,11,82,68.8,5.1,7.5,0,0,80.73,17,0,0,8,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.28,QB,990671779,0,,,3.28,0,0,0,0,0,3.28,,,16
2593,1,2021,GB,79,A.Rodgers,QB,OFF,16,16,531,366,4115,68.9,7.7,11.2,37,4,111.9,75,30,188,33,101,3.1,3,18,1,1,-4,-4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332.3,QB,990671417,0,,,336.8,0,0,0,0,0,349.3,,,12
3061,1,2021,GB,50,M.Lewis,TE,OFF,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,23,214,9.3,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,TE,990671418,0,,,32.9,0,0,0,0,0,44.4,,,12
3100,1,2021,ARI,14,A.Lee,P,ST,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,P,990670607,0,,,-2,0,0,0,0,0,-1,,,1
3341,1,2021,BAL,76,C.Campbell,DE,DEF,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,20,5,1.5,3.5,12,1,0,1,0,0,0,0,0,0,0,0,0,63.35,DL,990674142,0,,,0,0,0,0,0,0,0,,,3
